HO|0000|0250|0304
HO|0015|0240|0404
HO|0030|0255|0355
HO|0045|0350|0322
HO|0100|0352|0304
HO|0115|0150|0414
HO|0130|0254|0304
HO|0145|0210|0304
HO|0200|0220|0304
HO|0215|0230|0304
HO|0230|0270|0388
HO|0245|0250|0604
HO|0300|0260|0304
HO|0315|0250|0304
HO|0330|0250|0304
HO|0345|0220|0304
HO|0400|0250|0304
HO|0415|0290|0304
HO|0430|0250|0304
HO|0445|0250|0304
HO|0500|0250|0304
HO|0515|0250|0304
HO|0530|0250|0304
HO|0545|0250|0304
HO|0600|0250|0304
HO|0615|0250|0304
HO|0630|0250|0304
HO|0645|0250|0304
HO|0700|0230|0304
HO|0715|0250|0304
HO|0730|0250|0304
HO|0745|0260|0304
HO|0800|0250|0304
HO|0815|0250|0304
HO|0830|0250|0304
HO|0845|0250|0304
HO|0900|0280|0304
HO|0915|0250|0304
HO|0930|0250|0304
HO|0945|0250|0304
HO|1000|0250|0304
HO|1015|0250|0304
HO|1030|0250|0304
HO|1045|0250|0304
HO|1100|0250|0304
HO|1115|0250|0304
HO|1130|0250|0304
HO|1145|0250|0304
HO|1200|0250|0304
HO|1215|0250|0304
HO|1230|0250|0304
HO|1245|0250|0304
HO|1300|0220|0304
HO|1315|0250|0304
HO|1330|0250|0304
HO|1345|0250|0304
HO|1400|0250|0304
HO|1415|0250|0304
HO|1430|0250|0304
HO|1445|0250|0304
HO|1500|0250|0304
HO|1515|0250|0304
HO|1530|0250|0304
HO|1545|0250|0500
HO|1600|0250|0304
HO|1615|0250|0404
HO|1630|0250|0343
HO|1645|0250|0304
HO|1700|0250|0304
HO|1715|0250|0304
HO|1730|0250|0464
HO|1745|0250|0304
HO|1800|0250|0304
HO|1815|0250|0322
HO|1830|0250|0304
HO|1845|0250|0304
HO|1900|0250|0304
HO|1915|0250|0304
HO|1930|0250|0304
HO|1945|0290|0493
HO|2000|0250|0304
HO|2015|0250|0304
HO|2030|0250|0304
HO|2045|0250|0304
HO|2100|0250|0311
HO|2115|0250|0304
HO|2130|0250|0304
HO|2145|0250|0304
HO|2200|0250|0304
HO|2215|0190|0304
HO|2230|0250|0304
HO|2245|0250|0534
HO|2300|0250|0304
HO|2315|0250|0304
HO|2330|0250|0304
HO|2345|0250|0304
